measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Saudi Arabia,Female,60-64 years,Colon and rectum cancer,Number,2019,49.719542843246295,86.11752529342166,23.30570922739938
YLDs (Years Lived with Disability),Saudi Arabia,Male,<5 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,<5 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Male,<5 years,Ischemic stroke,Number,2019,50.35112247186243,72.6683794833493,32.010347238430036
YLDs (Years Lived with Disability),Saudi Arabia,Female,<5 years,Ischemic stroke,Number,2019,71.82125547977806,106.85065222284096,45.90451331484184
YLDs (Years Lived with Disability),Saudi Arabia,Male,5-9 years,Ischemic stroke,Number,2019,141.38850906696968,234.98565937049565,76.16312464666755
YLDs (Years Lived with Disability),Saudi Arabia,Female,5-9 years,Ischemic stroke,Number,2019,217.290368685511,395.8424134276257,96.40806298622641
YLDs (Years Lived with Disability),Saudi Arabia,Male,10-14 years,Ischemic stroke,Number,2019,219.35301658494154,352.309347417603,122.03451488209484
YLDs (Years Lived with Disability),Saudi Arabia,Female,10-14 years,Ischemic stroke,Number,2019,323.76583217179086,551.9622356882663,147.79623079011856
YLDs (Years Lived with Disability),Saudi Arabia,Male,15-19 years,Ischemic stroke,Number,2019,310.808375005567,543.440219925251,118.43109331972049
YLDs (Years Lived with Disability),Saudi Arabia,Female,15-19 years,Ischemic stroke,Number,2019,450.18815091360165,751.1230957909954,221.84483444617575
YLDs (Years Lived with Disability),Saudi Arabia,Male,20-24 years,Ischemic stroke,Number,2019,494.8253832388913,863.4216568264646,228.357618306512
YLDs (Years Lived with Disability),Saudi Arabia,Female,20-24 years,Ischemic stroke,Number,2019,679.0747507543671,1049.8275729234404,340.6699535784321
YLDs (Years Lived with Disability),Saudi Arabia,Male,25-29 years,Ischemic stroke,Number,2019,736.5152388561226,1245.0679411475744,363.93954626829037
YLDs (Years Lived with Disability),Saudi Arabia,Female,25-29 years,Ischemic stroke,Number,2019,1004.3770146428707,1522.1920739317538,577.9700495985547
YLDs (Years Lived with Disability),Saudi Arabia,Male,30-34 years,Ischemic stroke,Number,2019,1136.1095494850995,1849.405326305274,612.3288807463076
YLDs (Years Lived with Disability),Saudi Arabia,Female,30-34 years,Ischemic stroke,Number,2019,1411.0370418079829,2187.0855703729158,829.2785635086734
YLDs (Years Lived with Disability),Saudi Arabia,Male,35-39 years,Ischemic stroke,Number,2019,1596.6801508901594,2444.0506494224187,907.4497581368356
YLDs (Years Lived with Disability),Saudi Arabia,Female,35-39 years,Ischemic stroke,Number,2019,1811.6870077438616,2667.4265646195217,1120.3361420940298
YLDs (Years Lived with Disability),Saudi Arabia,Male,40-44 years,Ischemic stroke,Number,2019,1954.249258304238,2897.2635657162427,1196.2885804432426
YLDs (Years Lived with Disability),Saudi Arabia,Female,40-44 years,Ischemic stroke,Number,2019,2075.0031475114915,2952.4651860421636,1368.5535896338295
YLDs (Years Lived with Disability),Saudi Arabia,Male,45-49 years,Ischemic stroke,Number,2019,2110.2087938827926,3028.9220671564735,1303.7139661316924
YLDs (Years Lived with Disability),Saudi Arabia,Female,45-49 years,Ischemic stroke,Number,2019,2244.482132132033,3155.0451278645523,1454.2380741351271
YLDs (Years Lived with Disability),Saudi Arabia,Male,50-54 years,Ischemic stroke,Number,2019,2121.0762793329336,2978.8640322601523,1384.3230504927428
YLDs (Years Lived with Disability),Saudi Arabia,Female,50-54 years,Ischemic stroke,Number,2019,2294.4013035131693,3153.3092375667406,1555.7409352777895
YLDs (Years Lived with Disability),Saudi Arabia,Male,55-59 years,Ischemic stroke,Number,2019,2338.137911364505,3137.492647826021,1597.816454644157
YLDs (Years Lived with Disability),Saudi Arabia,Female,55-59 years,Ischemic stroke,Number,2019,2455.312022971431,3251.4392219694573,1696.5505177240152
YLDs (Years Lived with Disability),Saudi Arabia,Male,60-64 years,Ischemic stroke,Number,2019,2355.6685571601415,3112.4916582149044,1617.5270648758783
YLDs (Years Lived with Disability),Saudi Arabia,Female,60-64 years,Ischemic stroke,Number,2019,2405.6993219264527,3189.8621487264145,1690.348283698669
YLDs (Years Lived with Disability),Saudi Arabia,Male,65-69 years,Ischemic stroke,Number,2019,2184.4668354979635,2846.7363848652953,1558.5454887111503
YLDs (Years Lived with Disability),Saudi Arabia,Female,65-69 years,Ischemic stroke,Number,2019,2050.433517369854,2710.1028038978816,1418.0072239052945
